2026-09-03T10:06:06.170744684Z I0903 10:06:06.170422       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T10:17:39.916591988Z I0903 10:17:39.916246       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T10:27:39.917207100Z I0903 10:27:39.916631       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T10:37:39.917712293Z I0903 10:37:39.917608       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T10:47:39.919103848Z I0903 10:47:39.918991       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T10:57:39.919823437Z I0903 10:57:39.919532       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T11:07:39.919827486Z I0903 11:07:39.919586       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T11:17:39.920876226Z I0903 11:17:39.920732       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T11:27:39.921944360Z I0903 11:27:39.921537       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T12:21:55.881511266Z E0903 12:21:55.881284       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-03T12:21:55.881551539Z E0903 12:21:55.881285       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-03T12:42:28.864446503Z I0903 12:42:28.864000       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T12:43:11.801937883Z E0903 12:43:11.801605       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-03T13:15:04.572445929Z I0903 13:15:04.571835       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T13:23:29.730276444Z E0903 13:23:29.729774       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-03T13:23:29.730355056Z E0903 13:23:29.729775       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-03T13:25:16.320679328Z I0903 13:25:16.320189       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T13:35:16.321769870Z I0903 13:35:16.321303       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T13:45:16.322634587Z I0903 13:45:16.322332       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
2026-09-03T13:58:24.925329407Z E0903 13:58:24.925171       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
2026-09-03T15:10:11.506078493Z E0903 15:10:11.505769       1 authentication.go:76] "Unable to authenticate the request" err="[invalid bearer token, service account token has expired]"
