2026-09-02T03:01:32.874205342Z I0902 03:01:32.873938       1 serving.go:411] Generated self-signed cert in-memory
2026-09-02T03:01:33.389680619Z W0902 03:01:33.389622       1 requestheader_controller.go:204] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
2026-09-02T03:01:33.389696289Z W0902 03:01:33.389639       1 authentication.go:397] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
2026-09-02T03:01:33.389697331Z W0902 03:01:33.389644       1 authentication.go:398] Continuing without authentication configuration. This may treat all requests as anonymous.
2026-09-02T03:01:33.389699165Z W0902 03:01:33.389647       1 authentication.go:399] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2026-09-02T03:01:33.395880741Z E0902 03:01:33.395829       1 options.go:205] The manifest file is empty, ignoring.
2026-09-02T03:01:33.401848647Z I0902 03:01:33.401787       1 server.go:187] "Starting Kubernetes Scheduler" version="v1.37.0"
2026-09-02T03:01:33.401857774Z I0902 03:01:33.401799       1 server.go:189] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2026-09-02T03:01:33.403334248Z I0902 03:01:33.403286       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-09-02T03:01:33.403338790Z I0902 03:01:33.403298       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:33.403411139Z I0902 03:01:33.403385       1 secure_serving.go:214] Serving securely on 127.0.0.1:10259
2026-09-02T03:01:33.403440978Z I0902 03:01:33.403415       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-09-02T03:01:33.404443311Z E0902 03:01:33.404294       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ConfigMap: configmaps \"extension-apiserver-authentication\" is forbidden: User \"system:kube-scheduler\" cannot list resource \"configmaps\" in API group \"\" in the namespace \"kube-system\"" logger="UnhandledError" reflector="runtime/asm_arm64.s:1447" type="*v1.ConfigMap"
