2026-08-28T15:51:16.611253998Z I0828 15:51:16.611247       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611301582Z I0828 15:51:16.611277       1 legacy_serviceaccount_token_cleaner.go:103] "Starting legacy service account token cleaner controller"
2026-08-28T15:51:16.611802299Z I0828 15:51:16.611305       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611806591Z I0828 15:51:16.611346       1 taint_eviction.go:283] "Starting" controller="taint-eviction-controller"
2026-08-28T15:51:16.611807341Z I0828 15:51:16.611349       1 migrationrunner.go:140] "Starting" controller="migration-runner-controller"
2026-08-28T15:51:16.611808007Z I0828 15:51:16.611355       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611808507Z I0828 15:51:16.611377       1 taint_eviction.go:288] "Sending events to API server"
2026-08-28T15:51:16.611809049Z I0828 15:51:16.611379       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611809757Z I0828 15:51:16.611393       1 gc_controller.go:98] "Starting GC controller"
2026-08-28T15:51:16.611810174Z I0828 15:51:16.611399       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611810591Z I0828 15:51:16.610566       1 daemon_controller.go:364] "Starting daemon sets controller"
2026-08-28T15:51:16.611811007Z I0828 15:51:16.611417       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611811549Z I0828 15:51:16.609868       1 pcrcleaner.go:69] "Starting PodCertificateRequest cleaner controller"
2026-08-28T15:51:16.611812091Z I0828 15:51:16.611466       1 deployment_controller.go:180] "Starting controller" controller="deployment"
2026-08-28T15:51:16.611816632Z I0828 15:51:16.611470       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611817257Z I0828 15:51:16.609870       1 servicecidrs_controller.go:137] "Starting" controller="service-cidr-controller"
2026-08-28T15:51:16.611817716Z I0828 15:51:16.611508       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611818132Z I0828 15:51:16.610426       1 endpoints_controller.go:193] "Starting endpoint controller"
2026-08-28T15:51:16.611818549Z I0828 15:51:16.611524       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611818966Z I0828 15:51:16.611231       1 publisher.go:107] "Starting root CA cert publisher controller"
2026-08-28T15:51:16.611819632Z I0828 15:51:16.611539       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611820049Z I0828 15:51:16.611548       1 publisher.go:337] "Starting ClusterTrustBundle CA cert publisher controller"
2026-08-28T15:51:16.611820466Z I0828 15:51:16.611552       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611821466Z I0828 15:51:16.611584       1 device_taint_eviction.go:785] "Starting" controller="device-taint-eviction-controller" numWorkers=8
2026-08-28T15:51:16.611825841Z I0828 15:51:16.611672       1 resource_quota_controller.go:297] "Starting resource quota controller"
2026-08-28T15:51:16.611826299Z I0828 15:51:16.611676       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611826716Z I0828 15:51:16.609840       1 pv_controller_base.go:328] "Starting persistent volume controller"
2026-08-28T15:51:16.611827174Z I0828 15:51:16.611680       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611827591Z I0828 15:51:16.611297       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611894550Z I0828 15:51:16.611884       1 device_taint_eviction.go:825] "Sending events to api server"
2026-08-28T15:51:16.611992635Z I0828 15:51:16.611940       1 ttlafterfinished_controller.go:112] "Starting TTL after finished controller"
2026-08-28T15:51:16.611996385Z I0828 15:51:16.611950       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.611997469Z I0828 15:51:16.611951       1 shared_informer.go:531] "Caches are synced"
2026-08-28T15:51:16.611998010Z I0828 15:51:16.611952       1 resource_quota_monitor.go:309] "QuotaMonitor running"
2026-08-28T15:51:16.612872233Z I0828 15:51:16.612563       1 certificate_controller.go:120] "Starting certificate controller" name="csrsigning-kube-apiserver-client"
2026-08-28T15:51:16.612881150Z I0828 15:51:16.612633       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.612882067Z I0828 15:51:16.610379       1 endpointslice_controller.go:280] "Starting endpoint slice controller"
2026-08-28T15:51:16.612882775Z I0828 15:51:16.612645       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:16.612883234Z I0828 15:51:16.610390       1 attach_detach_controller.go:343] "Starting attach detach controller"
2026-08-28T15:51:16.612883775Z I0828 15:51:16.612649       1 shared_informer.go:524] "Waiting for caches to sync"
