NAMESPACE             NAME                                                     READY   STATUS    RESTARTS      AGE    IP            NODE                         NOMINATED NODE   READINESS GATES
ab-testing            pod/experiment-api-787dddcc77-r25jz                      1/1     Running   0             17s    10.244.0.49   incident-lab-control-plane   <none>           <none>
asset-pipeline        pod/thumbnailer-85d4959957-98ckz                         1/1     Running   0             16s    10.244.0.57   incident-lab-control-plane   <none>           <none>
batch-compute         pod/model-trainer-7bd699964d-j9cgz                       0/1     Pending   0             14s    <none>        <none>                       <none>           <none>
cdn-edge              pod/edge-cache-778d9548d7-79v2h                          1/1     Running   0             17s    10.244.0.50   incident-lab-control-plane   <none>           <none>
currency-rates        pod/rates-fetcher-64c66dfb56-2b6pn                       1/1     Running   0             14s    10.244.0.65   incident-lab-control-plane   <none>           <none>
distributed-tracing   pod/span-collector-98dd7779b-ztlbh                       1/1     Running   0             16s    10.244.0.58   incident-lab-control-plane   <none>           <none>
email-delivery        pod/smtp-relay-558df49878-fcqvq                          1/1     Running   0             17s    10.244.0.53   incident-lab-control-plane   <none>           <none>
feature-flags         pod/flag-server-546bfb8f8-mchb4                          1/1     Running   0             17s    10.244.0.54   incident-lab-control-plane   <none>           <none>
geo-routing           pod/geoip-api-779d7f574c-82dlh                           1/1     Running   0             16s    10.244.0.55   incident-lab-control-plane   <none>           <none>
internal-dns          pod/dns-forwarder-66fc5c9dd9-fqmvw                       1/1     Running   0             16s    10.244.0.59   incident-lab-control-plane   <none>           <none>
kube-system           pod/coredns-559f6c778d-9lrfg                             1/1     Running   0             2d9h   10.244.0.2    incident-lab-control-plane   <none>           <none>
kube-system           pod/coredns-559f6c778d-jsqvf                             1/1     Running   0             2d9h   10.244.0.3    incident-lab-control-plane   <none>           <none>
kube-system           pod/etcd-incident-lab-control-plane                      1/1     Running   0             2d9h   172.18.0.3    incident-lab-control-plane   <none>           <none>
kube-system           pod/kindnet-d6vmg                                        1/1     Running   0             2d9h   172.18.0.3    incident-lab-control-plane   <none>           <none>
kube-system           pod/kube-apiserver-incident-lab-control-plane            1/1     Running   0             2d9h   172.18.0.3    incident-lab-control-plane   <none>           <none>
kube-system           pod/kube-controller-manager-incident-lab-control-plane   1/1     Running   0             2d9h   172.18.0.3    incident-lab-control-plane   <none>           <none>
kube-system           pod/kube-proxy-4bpcr                                     1/1     Running   0             2d9h   172.18.0.3    incident-lab-control-plane   <none>           <none>
kube-system           pod/kube-scheduler-incident-lab-control-plane            1/1     Running   0             2d9h   172.18.0.3    incident-lab-control-plane   <none>           <none>
local-path-storage    pod/local-path-provisioner-75f7fc7dc5-bgp5f              1/1     Running   0             2d9h   10.244.0.4    incident-lab-control-plane   <none>           <none>
log-aggregation       pod/log-shipper-598b9c9858-cbp79                         1/1     Running   0             17s    10.244.0.48   incident-lab-control-plane   <none>           <none>
loyalty-points        pod/points-engine-84666f6c5f-p65dh                       1/1     Running   0             15s    10.244.0.60   incident-lab-control-plane   <none>           <none>
media-transcode       pod/transcode-worker-d7bbb9c-kl5k4                       1/1     Running   0             15s    10.244.0.62   incident-lab-control-plane   <none>           <none>
message-broker        pod/queue-server-5c879fdf4-cbs48                         1/1     Running   0             17s    10.244.0.47   incident-lab-control-plane   <none>           <none>
partner-api           pod/partner-gateway-cbdcb8f65-qzqxx                      1/1     Running   0             15s    10.244.0.63   incident-lab-control-plane   <none>           <none>
payments              pod/payments-gateway-api-9c78bc7b-qcwwf                  1/1     Running   0             11s    10.244.0.70   incident-lab-control-plane   <none>           <none>
payments              pod/payments-gateway-api-9c78bc7b-twfm4                  1/1     Running   0             11s    10.244.0.69   incident-lab-control-plane   <none>           <none>
platform-metrics      pod/metrics-collector-5d66786b84-5m2ft                   1/1     Running   0             17s    10.244.0.46   incident-lab-control-plane   <none>           <none>
pricing-sync          pod/price-worker-55864d8565-vj2tw                        1/1     Running   0             15s    10.244.0.61   incident-lab-control-plane   <none>           <none>
push-notifications    pod/push-dispatcher-657b86bd4d-t2562                     1/1     Running   0             16s    10.244.0.56   incident-lab-control-plane   <none>           <none>
release-canary        pod/canary-runner-54bdcc6cc-dc9f2                        1/1     Running   2 (13s ago)   14s    10.244.0.66   incident-lab-control-plane   <none>           <none>
report-exports        pod/nightly-export-29808767-5sr6q                        0/1     Error     0             5s     10.244.0.71   incident-lab-control-plane   <none>           <none>
session-store         pod/session-cache-5f875fd7c7-459xl                       1/1     Running   0             17s    10.244.0.52   incident-lab-control-plane   <none>           <none>
storefront            pod/checkout-api-7db48f7c7b-6fb2v                        0/1     Running   0             11s    10.244.0.68   incident-lab-control-plane   <none>           <none>
storefront            pod/checkout-api-7db48f7c7b-g7299                        0/1     Running   0             11s    10.244.0.67   incident-lab-control-plane   <none>           <none>
user-profiles         pod/profile-api-78bcbb5655-bsp87                         1/1     Running   0             17s    10.244.0.51   incident-lab-control-plane   <none>           <none>
webhooks              pod/webhook-relay-5449d69858-vqmz5                       1/1     Running   0             15s    10.244.0.64   incident-lab-control-plane   <none>           <none>

NAMESPACE             NAME                        TYPE           CLUSTER-IP      EXTERNAL-IP                                   PORT(S)                  AGE    SELECTOR
ab-testing            service/experiment-api      ClusterIP      10.96.194.131   <none>                                        8080/TCP                 17s    app=experiment-api
asset-pipeline        service/thumbnailer         ClusterIP      10.96.56.21     <none>                                        8080/TCP                 17s    app=thumbnailer
cdn-edge              service/edge-cache          ClusterIP      10.96.61.230    <none>                                        8080/TCP                 17s    app=edge-cache
currency-rates        service/rates-fetcher       ClusterIP      10.96.205.44    <none>                                        8080/TCP                 17s    app=rates-fetcher
default               service/kubernetes          ClusterIP      10.96.0.1       <none>                                        443/TCP                  2d9h   <none>
distributed-tracing   service/span-collector      ClusterIP      10.96.197.205   <none>                                        8080/TCP                 17s    app=span-collector
email-delivery        service/smtp-relay          ClusterIP      10.96.160.195   <none>                                        8080/TCP                 17s    app=smtp-relay
feature-flags         service/flag-server         ClusterIP      10.96.237.19    <none>                                        8080/TCP                 17s    app=flag-server
geo-routing           service/geoip-api           ClusterIP      10.96.49.221    <none>                                        8080/TCP                 17s    app=geoip-api
internal-dns          service/dns-forwarder       ClusterIP      10.96.27.61     <none>                                        8080/TCP                 17s    app=dns-forwarder
kube-system           service/kube-dns            ClusterIP      10.96.0.10      <none>                                        53/UDP,53/TCP,9153/TCP   2d9h   k8s-app=kube-dns
log-aggregation       service/log-shipper         ClusterIP      10.96.113.139   <none>                                        8080/TCP                 17s    app=log-shipper
loyalty-points        service/points-engine       ClusterIP      10.96.89.19     <none>                                        8080/TCP                 17s    app=points-engine
media-transcode       service/transcode-worker    ClusterIP      10.96.91.118    <none>                                        8080/TCP                 17s    app=transcode-worker
message-broker        service/queue-server        ClusterIP      10.96.62.155    <none>                                        8080/TCP                 17s    app=queue-server
partner-api           service/partner-gateway     ClusterIP      10.96.53.130    <none>                                        8080/TCP                 17s    app=partner-gateway
payments              service/payments-gateway    ClusterIP      10.96.215.202   <none>                                        8080/TCP                 11s    app=payments-gateway
platform-metrics      service/metrics-collector   ClusterIP      10.96.66.158    <none>                                        8080/TCP                 17s    app=metrics-collector
pricing-sync          service/price-worker        ClusterIP      10.96.149.195   <none>                                        8080/TCP                 17s    app=price-worker
push-notifications    service/push-dispatcher     ClusterIP      10.96.240.56    <none>                                        8080/TCP                 17s    app=push-dispatcher
session-store         service/session-cache       ClusterIP      10.96.136.239   <none>                                        8080/TCP                 17s    app=session-cache
storefront            service/payments-gateway    ExternalName   <none>          payments-gateway.payments.svc.cluster.local   <none>                   11s    <none>
user-profiles         service/profile-api         ClusterIP      10.96.167.254   <none>                                        8080/TCP                 17s    app=profile-api
webhooks              service/webhook-relay       ClusterIP      10.96.10.235    <none>                                        8080/TCP                 17s    app=webhook-relay

NAMESPACE     NAME                        DESIRED   CURRENT   READY   UP-TO-DATE   AVAILABLE   NODE SELECTOR            AGE    CONTAINERS    IMAGES                                          SELECTOR
kube-system   daemonset.apps/kindnet      1         1         1       1            1           kubernetes.io/os=linux   2d9h   kindnet-cni   docker.io/kindest/kindnetd:v20260820-69b56db7   app=kindnet
kube-system   daemonset.apps/kube-proxy   1         1         1       1            1           kubernetes.io/os=linux   2d9h   kube-proxy    registry.k8s.io/kube-proxy:v1.37.0              k8s-app=kube-proxy

NAMESPACE             NAME                                     READY   UP-TO-DATE   AVAILABLE   AGE    CONTAINERS               IMAGES                                                        SELECTOR
ab-testing            deployment.apps/experiment-api           1/1     1            1           17s    api                      busybox:1.36                                                  app=experiment-api
asset-pipeline        deployment.apps/thumbnailer              1/1     1            1           17s    worker                   busybox:1.36                                                  app=thumbnailer
batch-compute         deployment.apps/model-trainer            0/1     1            0           17s    trainer                  busybox:1.36                                                  app=model-trainer
cdn-edge              deployment.apps/edge-cache               1/1     1            1           17s    cache                    busybox:1.36                                                  app=edge-cache
currency-rates        deployment.apps/rates-fetcher            1/1     1            1           17s    fetcher                  busybox:1.36                                                  app=rates-fetcher
distributed-tracing   deployment.apps/span-collector           1/1     1            1           17s    collector                busybox:1.36                                                  app=span-collector
email-delivery        deployment.apps/smtp-relay               1/1     1            1           17s    relay                    busybox:1.36                                                  app=smtp-relay
feature-flags         deployment.apps/flag-server              1/1     1            1           17s    server                   busybox:1.36                                                  app=flag-server
geo-routing           deployment.apps/geoip-api                1/1     1            1           17s    api                      busybox:1.36                                                  app=geoip-api
internal-dns          deployment.apps/dns-forwarder            1/1     1            1           17s    forwarder                busybox:1.36                                                  app=dns-forwarder
kube-system           deployment.apps/coredns                  2/2     2            2           2d9h   coredns                  registry.k8s.io/coredns/coredns:v1.14.6                       k8s-app=kube-dns
local-path-storage    deployment.apps/local-path-provisioner   1/1     1            1           2d9h   local-path-provisioner   docker.io/kindest/local-path-provisioner:v20260820-69b56db7   app=local-path-provisioner
log-aggregation       deployment.apps/log-shipper              1/1     1            1           17s    shipper                  busybox:1.36                                                  app=log-shipper
loyalty-points        deployment.apps/points-engine            1/1     1            1           17s    engine                   busybox:1.36                                                  app=points-engine
media-transcode       deployment.apps/transcode-worker         1/1     1            1           17s    worker                   busybox:1.36                                                  app=transcode-worker
message-broker        deployment.apps/queue-server             1/1     1            1           17s    server                   busybox:1.36                                                  app=queue-server
partner-api           deployment.apps/partner-gateway          1/1     1            1           17s    gateway                  busybox:1.36                                                  app=partner-gateway
payments              deployment.apps/payments-gateway-api     2/2     2            2           11s    gateway                  busybox:1.36                                                  app=payments-gateway-api
platform-metrics      deployment.apps/metrics-collector        1/1     1            1           17s    collector                busybox:1.36                                                  app=metrics-collector
pricing-sync          deployment.apps/price-worker             1/1     1            1           17s    worker                   busybox:1.36                                                  app=price-worker
push-notifications    deployment.apps/push-dispatcher          1/1     1            1           17s    dispatcher               busybox:1.36                                                  app=push-dispatcher
release-canary        deployment.apps/canary-runner            1/1     1            1           17s    runner                   busybox:1.36                                                  app=canary-runner
session-store         deployment.apps/session-cache            1/1     1            1           17s    cache                    busybox:1.36                                                  app=session-cache
storefront            deployment.apps/checkout-api             0/2     2            0           11s    checkout-api             busybox:1.36                                                  app=checkout-api
user-profiles         deployment.apps/profile-api              1/1     1            1           17s    api                      busybox:1.36                                                  app=profile-api
webhooks              deployment.apps/webhook-relay            1/1     1            1           17s    relay                    busybox:1.36                                                  app=webhook-relay

NAMESPACE             NAME                                                DESIRED   CURRENT   READY   AGE    CONTAINERS               IMAGES                                                        SELECTOR
ab-testing            replicaset.apps/experiment-api-787dddcc77           1         1         1       17s    api                      busybox:1.36                                                  app=experiment-api,pod-template-hash=787dddcc77
asset-pipeline        replicaset.apps/thumbnailer-85d4959957              1         1         1       16s    worker                   busybox:1.36                                                  app=thumbnailer,pod-template-hash=85d4959957
batch-compute         replicaset.apps/model-trainer-7bd699964d            1         1         0       14s    trainer                  busybox:1.36                                                  app=model-trainer,pod-template-hash=7bd699964d
cdn-edge              replicaset.apps/edge-cache-778d9548d7               1         1         1       17s    cache                    busybox:1.36                                                  app=edge-cache,pod-template-hash=778d9548d7
currency-rates        replicaset.apps/rates-fetcher-64c66dfb56            1         1         1       15s    fetcher                  busybox:1.36                                                  app=rates-fetcher,pod-template-hash=64c66dfb56
distributed-tracing   replicaset.apps/span-collector-98dd7779b            1         1         1       16s    collector                busybox:1.36                                                  app=span-collector,pod-template-hash=98dd7779b
email-delivery        replicaset.apps/smtp-relay-558df49878               1         1         1       17s    relay                    busybox:1.36                                                  app=smtp-relay,pod-template-hash=558df49878
feature-flags         replicaset.apps/flag-server-546bfb8f8               1         1         1       17s    server                   busybox:1.36                                                  app=flag-server,pod-template-hash=546bfb8f8
geo-routing           replicaset.apps/geoip-api-779d7f574c                1         1         1       16s    api                      busybox:1.36                                                  app=geoip-api,pod-template-hash=779d7f574c
internal-dns          replicaset.apps/dns-forwarder-66fc5c9dd9            1         1         1       16s    forwarder                busybox:1.36                                                  app=dns-forwarder,pod-template-hash=66fc5c9dd9
kube-system           replicaset.apps/coredns-559f6c778d                  2         2         2       2d9h   coredns                  registry.k8s.io/coredns/coredns:v1.14.6                       k8s-app=kube-dns,pod-template-hash=559f6c778d
local-path-storage    replicaset.apps/local-path-provisioner-75f7fc7dc5   1         1         1       2d9h   local-path-provisioner   docker.io/kindest/local-path-provisioner:v20260820-69b56db7   app=local-path-provisioner,pod-template-hash=75f7fc7dc5
log-aggregation       replicaset.apps/log-shipper-598b9c9858              1         1         1       17s    shipper                  busybox:1.36                                                  app=log-shipper,pod-template-hash=598b9c9858
loyalty-points        replicaset.apps/points-engine-84666f6c5f            1         1         1       15s    engine                   busybox:1.36                                                  app=points-engine,pod-template-hash=84666f6c5f
media-transcode       replicaset.apps/transcode-worker-d7bbb9c            1         1         1       15s    worker                   busybox:1.36                                                  app=transcode-worker,pod-template-hash=d7bbb9c
message-broker        replicaset.apps/queue-server-5c879fdf4              1         1         1       17s    server                   busybox:1.36                                                  app=queue-server,pod-template-hash=5c879fdf4
partner-api           replicaset.apps/partner-gateway-cbdcb8f65           1         1         1       15s    gateway                  busybox:1.36                                                  app=partner-gateway,pod-template-hash=cbdcb8f65
payments              replicaset.apps/payments-gateway-api-9c78bc7b       2         2         2       11s    gateway                  busybox:1.36                                                  app=payments-gateway-api,pod-template-hash=9c78bc7b
platform-metrics      replicaset.apps/metrics-collector-5d66786b84        1         1         1       17s    collector                busybox:1.36                                                  app=metrics-collector,pod-template-hash=5d66786b84
pricing-sync          replicaset.apps/price-worker-55864d8565             1         1         1       15s    worker                   busybox:1.36                                                  app=price-worker,pod-template-hash=55864d8565
push-notifications    replicaset.apps/push-dispatcher-657b86bd4d          1         1         1       16s    dispatcher               busybox:1.36                                                  app=push-dispatcher,pod-template-hash=657b86bd4d
release-canary        replicaset.apps/canary-runner-54bdcc6cc             1         1         1       14s    runner                   busybox:1.36                                                  app=canary-runner,pod-template-hash=54bdcc6cc
session-store         replicaset.apps/session-cache-5f875fd7c7            1         1         1       17s    cache                    busybox:1.36                                                  app=session-cache,pod-template-hash=5f875fd7c7
storefront            replicaset.apps/checkout-api-7db48f7c7b             2         2         0       11s    checkout-api             busybox:1.36                                                  app=checkout-api,pod-template-hash=7db48f7c7b
user-profiles         replicaset.apps/profile-api-78bcbb5655              1         1         1       17s    api                      busybox:1.36                                                  app=profile-api,pod-template-hash=78bcbb5655
webhooks              replicaset.apps/webhook-relay-5449d69858            1         1         1       15s    relay                    busybox:1.36                                                  app=webhook-relay,pod-template-hash=5449d69858

NAMESPACE        NAME                           SCHEDULE      TIMEZONE   SUSPEND   ACTIVE   LAST SCHEDULE   AGE   CONTAINERS   IMAGES         SELECTOR
report-exports   cronjob.batch/nightly-export   */1 * * * *   <none>     False     1        5s              17s   exporter     busybox:1.36   <none>

NAMESPACE        NAME                                STATUS    COMPLETIONS   DURATION   AGE   CONTAINERS   IMAGES         SELECTOR
report-exports   job.batch/nightly-export-29808767   Running   0/1           5s         5s    exporter     busybox:1.36   batch.kubernetes.io/controller-uid=61b030de-bcc2-4dc5-bd20-0cbb73c67819
