Name:                     thumbnailer
Namespace:                asset-pipeline
Labels:                   <none>
Annotations:              <none>
Selector:                 app=thumbnailer
Type:                     ClusterIP
IP Family Policy:         SingleStack
IP Families:              IPv4
IP:                       10.96.56.21
IPs:                      10.96.56.21
Port:                     http  8080/TCP
TargetPort:               8080/TCP
Endpoints:                10.244.0.57:8080
Session Affinity:         None
Internal Traffic Policy:  Cluster
Events:                   <none>
