2026-09-02T03:01:33.380179646Z I0902 03:01:33.380135       1 secure_serving.go:214] Serving securely on [::]:6443
2026-09-02T03:01:33.380182354Z I0902 03:01:33.380158       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-09-02T03:01:33.380184772Z I0902 03:01:33.380173       1 apf_controller.go:377] Starting API Priority and Fairness config controller
2026-09-02T03:01:33.380231240Z I0902 03:01:33.380197       1 system_namespaces_controller.go:66] Starting system namespaces controller
2026-09-02T03:01:33.380248243Z I0902 03:01:33.380203       1 controller.go:89] "Starting OpenAPI V3 AggregationController"
2026-09-02T03:01:33.380257912Z I0902 03:01:33.380214       1 controller.go:87] "Starting OpenAPI AggregationController"
2026-09-02T03:01:33.380267872Z I0902 03:01:33.380229       1 aggregator.go:185] waiting for initial CRD sync...
2026-09-02T03:01:33.380293628Z I0902 03:01:33.380247       1 controller.go:127] "Starting legacy_token_tracking_controller"
2026-09-02T03:01:33.380294711Z I0902 03:01:33.380264       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:33.380295378Z I0902 03:01:33.380277       1 controller.go:116] "Deleting old lease on startup" lease="kube-system/apiserver-alnnk7buasvrc2nyuhlblkuxme"
2026-09-02T03:01:33.380296878Z I0902 03:01:33.380288       1 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
2026-09-02T03:01:33.380364476Z I0902 03:01:33.380328       1 dynamic_cafile_content.go:161] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
2026-09-02T03:01:33.380410277Z I0902 03:01:33.380368       1 dynamic_serving_content.go:135] "Starting controller" name="aggregator-proxy-cert::/etc/kubernetes/pki/front-proxy-client.crt::/etc/kubernetes/pki/front-proxy-client.key"
2026-09-02T03:01:33.380438949Z I0902 03:01:33.380420       1 gc_controller.go:85] "Starting apiserver lease garbage collector"
2026-09-02T03:01:33.380439783Z I0902 03:01:33.380427       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:33.380450494Z I0902 03:01:33.380427       1 default_servicecidr_controller.go:110] "Starting" controller="kubernetes-service-cidr-controller"
2026-09-02T03:01:33.380451410Z I0902 03:01:33.380432       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:33.380488418Z I0902 03:01:33.380258       1 apiservice_controller.go:100] Starting APIServiceRegistrationController
2026-09-02T03:01:33.380490085Z I0902 03:01:33.380470       1 cache.go:32] Waiting for caches to sync for APIServiceRegistrationController controller
2026-09-02T03:01:33.381504046Z I0902 03:01:33.380458       1 crd_finalizer.go:276] "Starting CRDFinalizer"
2026-09-02T03:01:33.381585854Z I0902 03:01:33.380258       1 remote_available_controller.go:434] Starting RemoteAvailability controller
2026-09-02T03:01:33.381589980Z I0902 03:01:33.381546       1 cache.go:32] Waiting for caches to sync for RemoteAvailability controller
2026-09-02T03:01:33.381591647Z I0902 03:01:33.380264       1 cluster_authentication_trust_controller.go:459] Starting cluster_authentication_trust_controller controller
2026-09-02T03:01:33.381592272Z I0902 03:01:33.381558       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:33.381593023Z I0902 03:01:33.380345       1 storage_readiness_hook.go:70] Storage is ready for all registered resources
2026-09-02T03:01:33.381596065Z I0902 03:01:33.380410       1 crdregistration_controller.go:114] Starting crd-autoregister controller
2026-09-02T03:01:33.381625363Z I0902 03:01:33.381595       1 shared_informer.go:503] "Waiting for caches to sync" controller="crd-autoregister"
2026-09-02T03:01:33.385965473Z I0902 03:01:33.380418       1 local_available_controller.go:156] Starting LocalAvailability controller
2026-09-02T03:01:33.386002230Z I0902 03:01:33.385981       1 cache.go:32] Waiting for caches to sync for LocalAvailability controller
2026-09-02T03:01:33.386050740Z I0902 03:01:33.380423       1 customresource_discovery_controller.go:294] Starting DiscoveryController
2026-09-02T03:01:33.386053949Z I0902 03:01:33.380430       1 controller.go:142] Starting OpenAPI controller
2026-09-02T03:01:33.386082580Z I0902 03:01:33.380436       1 controller.go:90] Starting OpenAPI V3 controller
2026-09-02T03:01:33.386092666Z I0902 03:01:33.380440       1 naming_controller.go:305] Starting NamingConditionController
2026-09-02T03:01:33.386102834Z I0902 03:01:33.380449       1 repairip.go:210] Starting ipallocator-repair-controller
2026-09-02T03:01:33.386125923Z I0902 03:01:33.386108       1 shared_informer.go:503] "Waiting for caches to sync" controller="ipallocator-repair-controller"
