2026-09-02T03:01:41.864908648Z I0902 03:01:41.864561       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864920639Z I0902 03:01:41.864573       1 publisher.go:337] "Starting ClusterTrustBundle CA cert publisher controller"
2026-09-02T03:01:41.864921889Z I0902 03:01:41.864578       1 ttlafterfinished_controller.go:112] "Starting TTL after finished controller"
2026-09-02T03:01:41.864922846Z I0902 03:01:41.864585       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864924262Z I0902 03:01:41.864596       1 gc_controller.go:98] "Starting GC controller"
2026-09-02T03:01:41.864925178Z I0902 03:01:41.864628       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864926177Z I0902 03:01:41.864635       1 resource_quota_controller.go:297] "Starting resource quota controller"
2026-09-02T03:01:41.864927218Z I0902 03:01:41.864642       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864928134Z I0902 03:01:41.864659       1 certificate_controller.go:120] "Starting certificate controller" name="csrsigning-legacy-unknown"
2026-09-02T03:01:41.864929092Z I0902 03:01:41.864686       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864930174Z I0902 03:01:41.864684       1 certificate_controller.go:120] "Starting certificate controller" name="csrsigning-kubelet-serving"
2026-09-02T03:01:41.864931090Z I0902 03:01:41.864691       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864932006Z I0902 03:01:41.864706       1 certificate_controller.go:120] "Starting certificate controller" name="csrsigning-kubelet-client"
2026-09-02T03:01:41.864933297Z I0902 03:01:41.864713       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864935046Z I0902 03:01:41.864720       1 certificate_controller.go:120] "Starting certificate controller" name="csrsigning-kube-apiserver-client"
2026-09-02T03:01:41.864936004Z I0902 03:01:41.864759       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864941875Z I0902 03:01:41.864762       1 tokencleaner.go:117] "Starting token cleaner controller"
2026-09-02T03:01:41.864943124Z I0902 03:01:41.864777       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864944914Z I0902 03:01:41.864780       1 dynamic_serving_content.go:135] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
2026-09-02T03:01:41.864945872Z I0902 03:01:41.864806       1 controller.go:819] "Starting resource claim controller"
2026-09-02T03:01:41.864946788Z I0902 03:01:41.864814       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.864947704Z I0902 03:01:41.864827       1 dynamic_serving_content.go:135] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
2026-09-02T03:01:41.864948620Z I0902 03:01:41.864909       1 dynamic_serving_content.go:135] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
2026-09-02T03:01:41.864991090Z I0902 03:01:41.864750       1 horizontal.go:228] "Starting HPA controller"
2026-09-02T03:01:41.864997170Z I0902 03:01:41.864961       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.865349633Z I0902 03:01:41.865238       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.865357253Z I0902 03:01:41.865268       1 disruption.go:453] "Sending events to api server."
2026-09-02T03:01:41.865519390Z I0902 03:01:41.865285       1 disruption.go:460] "Starting disruption controller"
2026-09-02T03:01:41.865522180Z I0902 03:01:41.865291       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.865523429Z I0902 03:01:41.865303       1 pcrcleaner.go:69] "Starting PodCertificateRequest cleaner controller"
2026-09-02T03:01:41.866063387Z I0902 03:01:41.865999       1 ttl_controller.go:129] "Starting TTL controller"
2026-09-02T03:01:41.866067467Z I0902 03:01:41.866017       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.866069633Z I0902 03:01:41.866030       1 vac_protection_controller.go:215] "Starting VAC protection controller"
2026-09-02T03:01:41.866070715Z I0902 03:01:41.866039       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.866233144Z I0902 03:01:41.866079       1 device_taint_eviction.go:785] "Starting" controller="device-taint-eviction-controller" numWorkers=8
2026-09-02T03:01:41.866235767Z I0902 03:01:41.866197       1 legacy_serviceaccount_token_cleaner.go:103] "Starting legacy service account token cleaner controller"
2026-09-02T03:01:41.866236891Z I0902 03:01:41.866210       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.866267287Z I0902 03:01:41.866239       1 deployment_controller.go:180] "Starting controller" controller="deployment"
2026-09-02T03:01:41.866273283Z I0902 03:01:41.866251       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.866891853Z I0902 03:01:41.866298       1 endpoints_controller.go:193] "Starting endpoint controller"
2026-09-02T03:01:41.866912755Z I0902 03:01:41.866816       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.866915420Z I0902 03:01:41.866836       1 certificate_controller.go:120] "Starting certificate controller" name="csrapproving"
2026-09-02T03:01:41.866917002Z I0902 03:01:41.866846       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869358055Z I0902 03:01:41.866862       1 publisher.go:107] "Starting root CA cert publisher controller"
2026-09-02T03:01:41.869371421Z I0902 03:01:41.866982       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869373586Z I0902 03:01:41.867013       1 servicecidrs_controller.go:137] "Starting" controller="service-cidr-controller"
2026-09-02T03:01:41.869374835Z I0902 03:01:41.867023       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869376418Z I0902 03:01:41.867048       1 endpointslicemirroring_controller.go:226] "Starting EndpointSliceMirroring controller"
2026-09-02T03:01:41.869377625Z I0902 03:01:41.867067       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869378749Z I0902 03:01:41.867103       1 replica_set.go:285] "Starting controller" name="replicationcontroller"
2026-09-02T03:01:41.869379957Z I0902 03:01:41.867121       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869381414Z I0902 03:01:41.867153       1 job_controller.go:334] "Starting job controller"
2026-09-02T03:01:41.869382330Z I0902 03:01:41.867170       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869383579Z I0902 03:01:41.867189       1 cleaner.go:83] "Starting CSR cleaner controller"
2026-09-02T03:01:41.869384537Z I0902 03:01:41.867212       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869385536Z I0902 03:01:41.867244       1 attach_detach_controller.go:343] "Starting attach detach controller"
2026-09-02T03:01:41.869386452Z I0902 03:01:41.868704       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869387327Z I0902 03:01:41.867742       1 replica_set.go:285] "Starting controller" name="replicaset"
2026-09-02T03:01:41.869388243Z I0902 03:01:41.868943       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869389076Z I0902 03:01:41.867809       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869389950Z I0902 03:01:41.867698       1 device_taint_eviction.go:825] "Sending events to api server"
2026-09-02T03:01:41.869399277Z I0902 03:01:41.869219       1 device_taint_eviction.go:1025] "Waiting" for="cache and event handler sync"
2026-09-02T03:01:41.869400484Z I0902 03:01:41.868332       1 resource_quota_monitor.go:309] "QuotaMonitor running"
2026-09-02T03:01:41.869405814Z I0902 03:01:41.868347       1 controller.go:181] "Starting ephemeral volume controller"
2026-09-02T03:01:41.869407021Z I0902 03:01:41.869352       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.869407937Z I0902 03:01:41.868373       1 endpointslice_controller.go:280] "Starting endpoint slice controller"
2026-09-02T03:01:41.870613308Z I0902 03:01:41.869363       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.870620511Z I0902 03:01:41.868384       1 dynamic_serving_content.go:135] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
2026-09-02T03:01:41.870621594Z I0902 03:01:41.868418       1 node_ipam_controller.go:142] "Starting ipam controller"
2026-09-02T03:01:41.870622593Z I0902 03:01:41.869465       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.870623426Z I0902 03:01:41.868441       1 pv_controller_base.go:328] "Starting persistent volume controller"
2026-09-02T03:01:41.870624300Z I0902 03:01:41.869471       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.870625133Z I0902 03:01:41.868451       1 expand_controller.go:332] "Starting expand controller"
2026-09-02T03:01:41.870625924Z I0902 03:01:41.869476       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.870626674Z I0902 03:01:41.868461       1 shared_informer.go:524] "Waiting for caches to sync"
2026-09-02T03:01:41.870627631Z I0902 03:01:41.868470       1 serviceaccounts_controller.go:117] "Starting service account controller"
