NAMESPACE             NAME                                                        READY   STATUS                       RESTARTS      AGE   IP            NODE                            NOMINATED NODE   READINESS GATES
ab-testing            pod/experiment-api-787dddcc77-ph6gx                         1/1     Running                      0             27s   10.244.0.52   incident-lab-control-plane   <none>           <none>
asset-pipeline        pod/thumbnailer-85d4959957-l9dhx                            1/1     Running                      0             26s   10.244.0.62   incident-lab-control-plane   <none>           <none>
cdn-edge              pod/edge-cache-778d9548d7-z5cnx                             1/1     Running                      0             27s   10.244.0.54   incident-lab-control-plane   <none>           <none>
currency-rates        pod/rates-fetcher-64c66dfb56-g5ctf                          1/1     Running                      0             24s   10.244.0.70   incident-lab-control-plane   <none>           <none>
distributed-tracing   pod/span-collector-98dd7779b-xjk2q                          1/1     Running                      0             26s   10.244.0.64   incident-lab-control-plane   <none>           <none>
email-delivery        pod/smtp-relay-558df49878-jvrxs                             1/1     Running                      0             27s   10.244.0.58   incident-lab-control-plane   <none>           <none>
feature-flags         pod/flag-server-546bfb8f8-6dmqf                             1/1     Running                      0             27s   10.244.0.59   incident-lab-control-plane   <none>           <none>
geo-routing           pod/geoip-api-779d7f574c-2mblk                              1/1     Running                      0             26s   10.244.0.60   incident-lab-control-plane   <none>           <none>
internal-dns          pod/dns-forwarder-66fc5c9dd9-7t7ps                          1/1     Running                      0             26s   10.244.0.63   incident-lab-control-plane   <none>           <none>
kube-system           pod/coredns-559f6c778d-9sqc8                                1/1     Running                      0             9h    10.244.0.3    incident-lab-control-plane   <none>           <none>
kube-system           pod/coredns-559f6c778d-t9nfq                                1/1     Running                      0             9h    10.244.0.4    incident-lab-control-plane   <none>           <none>
kube-system           pod/etcd-incident-lab-control-plane                      1/1     Running                      0             9h    172.18.0.2    incident-lab-control-plane   <none>           <none>
kube-system           pod/kindnet-88ckx                                           1/1     Running                      0             9h    172.18.0.2    incident-lab-control-plane   <none>           <none>
kube-system           pod/kube-apiserver-incident-lab-control-plane            1/1     Running                      0             9h    172.18.0.2    incident-lab-control-plane   <none>           <none>
kube-system           pod/kube-controller-manager-incident-lab-control-plane   1/1     Running                      0             9h    172.18.0.2    incident-lab-control-plane   <none>           <none>
kube-system           pod/kube-proxy-6ndq6                                        1/1     Running                      0             9h    172.18.0.2    incident-lab-control-plane   <none>           <none>
kube-system           pod/kube-scheduler-incident-lab-control-plane            1/1     Running                      0             9h    172.18.0.2    incident-lab-control-plane   <none>           <none>
local-path-storage    pod/local-path-provisioner-75f7fc7dc5-q6tkt                 1/1     Running                      0             9h    10.244.0.2    incident-lab-control-plane   <none>           <none>
log-aggregation       pod/log-shipper-598b9c9858-5s4xs                            1/1     Running                      0             27s   10.244.0.53   incident-lab-control-plane   <none>           <none>
loyalty-points        pod/points-engine-84666f6c5f-vmjww                          1/1     Running                      0             25s   10.244.0.65   incident-lab-control-plane   <none>           <none>
media-transcode       pod/transcode-worker-d7bbb9c-rmqmc                          1/1     Running                      0             25s   10.244.0.67   incident-lab-control-plane   <none>           <none>
message-broker        pod/queue-server-5c879fdf4-c2sxn                            1/1     Running                      0             27s   10.244.0.55   incident-lab-control-plane   <none>           <none>
orders                pod/orders-api-6c64874687-8c47z                             0/1     CreateContainerConfigError   0             21s   10.244.0.72   incident-lab-control-plane   <none>           <none>
orders                pod/orders-api-6c64874687-t6d22                             0/1     CreateContainerConfigError   0             21s   10.244.0.71   incident-lab-control-plane   <none>           <none>
orders                pod/orders-audit-ff8669574-z72nx                            1/1     Running                      0             21s   10.244.0.73   incident-lab-control-plane   <none>           <none>
orders                pod/orders-report-worker-5645b7fccf-zhjzb                   0/1     OOMKilled                    2 (18s ago)   21s   10.244.0.74   incident-lab-control-plane   <none>           <none>
partner-api           pod/partner-gateway-cbdcb8f65-zvqv9                         1/1     Running                      0             25s   10.244.0.68   incident-lab-control-plane   <none>           <none>
platform-metrics      pod/metrics-collector-5d66786b84-z8csb                      1/1     Running                      0             27s   10.244.0.51   incident-lab-control-plane   <none>           <none>
pricing-sync          pod/price-worker-55864d8565-xwvgw                           1/1     Running                      0             25s   10.244.0.66   incident-lab-control-plane   <none>           <none>
push-notifications    pod/push-dispatcher-657b86bd4d-nqzvt                        1/1     Running                      0             26s   10.244.0.61   incident-lab-control-plane   <none>           <none>
session-store         pod/session-cache-5f875fd7c7-lnwbv                          1/1     Running                      0             27s   10.244.0.57   incident-lab-control-plane   <none>           <none>
user-profiles         pod/profile-api-78bcbb5655-mxcn7                            1/1     Running                      0             27s   10.244.0.56   incident-lab-control-plane   <none>           <none>
webhooks              pod/webhook-relay-5449d69858-8lg7t                          1/1     Running                      0             25s   10.244.0.69   incident-lab-control-plane   <none>           <none>

NAMESPACE             NAME                        TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                  AGE   SELECTOR
ab-testing            service/experiment-api      ClusterIP   10.96.189.132   <none>        8080/TCP                 27s   app=experiment-api
asset-pipeline        service/thumbnailer         ClusterIP   10.96.128.198   <none>        8080/TCP                 27s   app=thumbnailer
cdn-edge              service/edge-cache          ClusterIP   10.96.129.217   <none>        8080/TCP                 27s   app=edge-cache
currency-rates        service/rates-fetcher       ClusterIP   10.96.205.204   <none>        8080/TCP                 27s   app=rates-fetcher
default               service/kubernetes          ClusterIP   10.96.0.1       <none>        443/TCP                  9h    <none>
distributed-tracing   service/span-collector      ClusterIP   10.96.56.199    <none>        8080/TCP                 27s   app=span-collector
email-delivery        service/smtp-relay          ClusterIP   10.96.123.223   <none>        8080/TCP                 27s   app=smtp-relay
feature-flags         service/flag-server         ClusterIP   10.96.34.192    <none>        8080/TCP                 27s   app=flag-server
geo-routing           service/geoip-api           ClusterIP   10.96.161.237   <none>        8080/TCP                 27s   app=geoip-api
internal-dns          service/dns-forwarder       ClusterIP   10.96.6.54      <none>        8080/TCP                 27s   app=dns-forwarder
kube-system           service/kube-dns            ClusterIP   10.96.0.10      <none>        53/UDP,53/TCP,9153/TCP   9h    k8s-app=kube-dns
log-aggregation       service/log-shipper         ClusterIP   10.96.13.139    <none>        8080/TCP                 27s   app=log-shipper
loyalty-points        service/points-engine       ClusterIP   10.96.181.219   <none>        8080/TCP                 27s   app=points-engine
media-transcode       service/transcode-worker    ClusterIP   10.96.62.8      <none>        8080/TCP                 27s   app=transcode-worker
message-broker        service/queue-server        ClusterIP   10.96.17.34     <none>        8080/TCP                 27s   app=queue-server
orders                service/orders-api          ClusterIP   10.96.40.243    <none>        80/TCP                   21s   app=orders-api
partner-api           service/partner-gateway     ClusterIP   10.96.127.142   <none>        8080/TCP                 27s   app=partner-gateway
platform-metrics      service/metrics-collector   ClusterIP   10.96.212.102   <none>        8080/TCP                 27s   app=metrics-collector
pricing-sync          service/price-worker        ClusterIP   10.96.64.189    <none>        8080/TCP                 27s   app=price-worker
push-notifications    service/push-dispatcher     ClusterIP   10.96.182.158   <none>        8080/TCP                 27s   app=push-dispatcher
session-store         service/session-cache       ClusterIP   10.96.145.183   <none>        8080/TCP                 27s   app=session-cache
user-profiles         service/profile-api         ClusterIP   10.96.97.139    <none>        8080/TCP                 27s   app=profile-api
webhooks              service/webhook-relay       ClusterIP   10.96.15.86     <none>        8080/TCP                 27s   app=webhook-relay

NAMESPACE     NAME                        DESIRED   CURRENT   READY   UP-TO-DATE   AVAILABLE   NODE SELECTOR            AGE   CONTAINERS    IMAGES                                          SELECTOR
kube-system   daemonset.apps/kindnet      1         1         1       1            1           kubernetes.io/os=linux   9h    kindnet-cni   docker.io/kindest/kindnetd:v20260820-69b56db7   app=kindnet
kube-system   daemonset.apps/kube-proxy   1         1         1       1            1           kubernetes.io/os=linux   9h    kube-proxy    registry.k8s.io/kube-proxy:v1.37.0              k8s-app=kube-proxy

NAMESPACE             NAME                                     READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS               IMAGES                                                        SELECTOR
ab-testing            deployment.apps/experiment-api           1/1     1            1           27s   api                      busybox:1.36                                                  app=experiment-api
asset-pipeline        deployment.apps/thumbnailer              1/1     1            1           27s   worker                   busybox:1.36                                                  app=thumbnailer
cdn-edge              deployment.apps/edge-cache               1/1     1            1           27s   cache                    busybox:1.36                                                  app=edge-cache
currency-rates        deployment.apps/rates-fetcher            1/1     1            1           27s   fetcher                  busybox:1.36                                                  app=rates-fetcher
distributed-tracing   deployment.apps/span-collector           1/1     1            1           27s   collector                busybox:1.36                                                  app=span-collector
email-delivery        deployment.apps/smtp-relay               1/1     1            1           27s   relay                    busybox:1.36                                                  app=smtp-relay
feature-flags         deployment.apps/flag-server              1/1     1            1           27s   server                   busybox:1.36                                                  app=flag-server
geo-routing           deployment.apps/geoip-api                1/1     1            1           27s   api                      busybox:1.36                                                  app=geoip-api
internal-dns          deployment.apps/dns-forwarder            1/1     1            1           27s   forwarder                busybox:1.36                                                  app=dns-forwarder
kube-system           deployment.apps/coredns                  2/2     2            2           9h    coredns                  registry.k8s.io/coredns/coredns:v1.14.6                       k8s-app=kube-dns
local-path-storage    deployment.apps/local-path-provisioner   1/1     1            1           9h    local-path-provisioner   docker.io/kindest/local-path-provisioner:v20260820-69b56db7   app=local-path-provisioner
log-aggregation       deployment.apps/log-shipper              1/1     1            1           27s   shipper                  busybox:1.36                                                  app=log-shipper
loyalty-points        deployment.apps/points-engine            1/1     1            1           27s   engine                   busybox:1.36                                                  app=points-engine
media-transcode       deployment.apps/transcode-worker         1/1     1            1           27s   worker                   busybox:1.36                                                  app=transcode-worker
message-broker        deployment.apps/queue-server             1/1     1            1           27s   server                   busybox:1.36                                                  app=queue-server
orders                deployment.apps/orders-api               0/2     2            0           21s   api                      busybox:1.36                                                  app=orders-api
orders                deployment.apps/orders-audit             1/1     1            1           21s   audit                    busybox:1.36                                                  app=orders-audit
orders                deployment.apps/orders-report-worker     0/1     1            0           21s   worker                   busybox:1.36                                                  app=orders-report-worker
partner-api           deployment.apps/partner-gateway          1/1     1            1           27s   gateway                  busybox:1.36                                                  app=partner-gateway
platform-metrics      deployment.apps/metrics-collector        1/1     1            1           27s   collector                busybox:1.36                                                  app=metrics-collector
pricing-sync          deployment.apps/price-worker             1/1     1            1           27s   worker                   busybox:1.36                                                  app=price-worker
push-notifications    deployment.apps/push-dispatcher          1/1     1            1           27s   dispatcher               busybox:1.36                                                  app=push-dispatcher
session-store         deployment.apps/session-cache            1/1     1            1           27s   cache                    busybox:1.36                                                  app=session-cache
user-profiles         deployment.apps/profile-api              1/1     1            1           27s   api                      busybox:1.36                                                  app=profile-api
webhooks              deployment.apps/webhook-relay            1/1     1            1           27s   relay                    busybox:1.36                                                  app=webhook-relay

NAMESPACE             NAME                                                DESIRED   CURRENT   READY   AGE   CONTAINERS               IMAGES                                                        SELECTOR
ab-testing            replicaset.apps/experiment-api-787dddcc77           1         1         1       27s   api                      busybox:1.36                                                  app=experiment-api,pod-template-hash=787dddcc77
asset-pipeline        replicaset.apps/thumbnailer-85d4959957              1         1         1       26s   worker                   busybox:1.36                                                  app=thumbnailer,pod-template-hash=85d4959957
cdn-edge              replicaset.apps/edge-cache-778d9548d7               1         1         1       27s   cache                    busybox:1.36                                                  app=edge-cache,pod-template-hash=778d9548d7
currency-rates        replicaset.apps/rates-fetcher-64c66dfb56            1         1         1       24s   fetcher                  busybox:1.36                                                  app=rates-fetcher,pod-template-hash=64c66dfb56
distributed-tracing   replicaset.apps/span-collector-98dd7779b            1         1         1       26s   collector                busybox:1.36                                                  app=span-collector,pod-template-hash=98dd7779b
email-delivery        replicaset.apps/smtp-relay-558df49878               1         1         1       27s   relay                    busybox:1.36                                                  app=smtp-relay,pod-template-hash=558df49878
feature-flags         replicaset.apps/flag-server-546bfb8f8               1         1         1       27s   server                   busybox:1.36                                                  app=flag-server,pod-template-hash=546bfb8f8
geo-routing           replicaset.apps/geoip-api-779d7f574c                1         1         1       26s   api                      busybox:1.36                                                  app=geoip-api,pod-template-hash=779d7f574c
internal-dns          replicaset.apps/dns-forwarder-66fc5c9dd9            1         1         1       26s   forwarder                busybox:1.36                                                  app=dns-forwarder,pod-template-hash=66fc5c9dd9
kube-system           replicaset.apps/coredns-559f6c778d                  2         2         2       9h    coredns                  registry.k8s.io/coredns/coredns:v1.14.6                       k8s-app=kube-dns,pod-template-hash=559f6c778d
local-path-storage    replicaset.apps/local-path-provisioner-75f7fc7dc5   1         1         1       9h    local-path-provisioner   docker.io/kindest/local-path-provisioner:v20260820-69b56db7   app=local-path-provisioner,pod-template-hash=75f7fc7dc5
log-aggregation       replicaset.apps/log-shipper-598b9c9858              1         1         1       27s   shipper                  busybox:1.36                                                  app=log-shipper,pod-template-hash=598b9c9858
loyalty-points        replicaset.apps/points-engine-84666f6c5f            1         1         1       25s   engine                   busybox:1.36                                                  app=points-engine,pod-template-hash=84666f6c5f
media-transcode       replicaset.apps/transcode-worker-d7bbb9c            1         1         1       25s   worker                   busybox:1.36                                                  app=transcode-worker,pod-template-hash=d7bbb9c
message-broker        replicaset.apps/queue-server-5c879fdf4              1         1         1       27s   server                   busybox:1.36                                                  app=queue-server,pod-template-hash=5c879fdf4
orders                replicaset.apps/orders-api-6c64874687               2         2         0       21s   api                      busybox:1.36                                                  app=orders-api,pod-template-hash=6c64874687
orders                replicaset.apps/orders-audit-ff8669574              1         1         1       21s   audit                    busybox:1.36                                                  app=orders-audit,pod-template-hash=ff8669574
orders                replicaset.apps/orders-report-worker-5645b7fccf     1         1         0       21s   worker                   busybox:1.36                                                  app=orders-report-worker,pod-template-hash=5645b7fccf
partner-api           replicaset.apps/partner-gateway-cbdcb8f65           1         1         1       25s   gateway                  busybox:1.36                                                  app=partner-gateway,pod-template-hash=cbdcb8f65
platform-metrics      replicaset.apps/metrics-collector-5d66786b84        1         1         1       27s   collector                busybox:1.36                                                  app=metrics-collector,pod-template-hash=5d66786b84
pricing-sync          replicaset.apps/price-worker-55864d8565             1         1         1       25s   worker                   busybox:1.36                                                  app=price-worker,pod-template-hash=55864d8565
push-notifications    replicaset.apps/push-dispatcher-657b86bd4d          1         1         1       26s   dispatcher               busybox:1.36                                                  app=push-dispatcher,pod-template-hash=657b86bd4d
session-store         replicaset.apps/session-cache-5f875fd7c7            1         1         1       27s   cache                    busybox:1.36                                                  app=session-cache,pod-template-hash=5f875fd7c7
user-profiles         replicaset.apps/profile-api-78bcbb5655              1         1         1       27s   api                      busybox:1.36                                                  app=profile-api,pod-template-hash=78bcbb5655
webhooks              replicaset.apps/webhook-relay-5449d69858            1         1         1       25s   relay                    busybox:1.36                                                  app=webhook-relay,pod-template-hash=5449d69858
