2026-08-28T15:51:06.411776397Z I0828 15:51:06.411704       1 serving.go:411] Generated self-signed cert in-memory
2026-08-28T15:51:06.983133226Z W0828 15:51:06.983079       1 requestheader_controller.go:204] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
2026-08-28T15:51:06.983156476Z W0828 15:51:06.983147       1 authentication.go:397] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
2026-08-28T15:51:06.983183685Z W0828 15:51:06.983161       1 authentication.go:398] Continuing without authentication configuration. This may treat all requests as anonymous.
2026-08-28T15:51:06.983198477Z W0828 15:51:06.983191       1 authentication.go:399] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2026-08-28T15:51:06.984242869Z E0828 15:51:06.984227       1 options.go:205] The manifest file is empty, ignoring.
2026-08-28T15:51:07.002637217Z I0828 15:51:07.002564       1 server.go:187] "Starting Kubernetes Scheduler" version="v1.37.0"
2026-08-28T15:51:07.002650717Z I0828 15:51:07.002582       1 server.go:189] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2026-08-28T15:51:07.003855904Z I0828 15:51:07.003808       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-08-28T15:51:07.003861404Z I0828 15:51:07.003826       1 shared_informer.go:524] "Waiting for caches to sync"
2026-08-28T15:51:07.003862237Z I0828 15:51:07.003838       1 secure_serving.go:214] Serving securely on 127.0.0.1:10259
2026-08-28T15:51:07.003931238Z I0828 15:51:07.003897       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-08-28T15:51:07.004850587Z E0828 15:51:07.004789       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ConfigMap: configmaps \"extension-apiserver-authentication\" is forbidden: User \"system:kube-scheduler\" cannot list resource \"configmaps\" in API group \"\" in the namespace \"kube-system\"" logger="UnhandledError" reflector="runtime/asm_arm64.s:1447" type="*v1.ConfigMap"
2026-08-28T15:51:07.005987022Z E0828 15:51:07.005844       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ResourceClaim: resourceclaims.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"resourceclaims\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ResourceClaim"
2026-08-28T15:51:07.005991689Z E0828 15:51:07.005921       1 reflector.go:227] "Failed to watch" err="failed to list *v1.DeviceClass: deviceclasses.resource.k8s.io is forbidden: User \"system:kube-scheduler\" cannot list resource \"deviceclasses\" in API group \"resource.k8s.io\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.DeviceClass"
2026-08-28T15:51:07.006232318Z E0828 15:51:07.006184       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ReplicaSet: replicasets.apps is forbidden: User \"system:kube-scheduler\" cannot list resource \"replicasets\" in API group \"apps\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ReplicaSet"
2026-08-28T15:51:07.006234693Z E0828 15:51:07.006190       1 reflector.go:227] "Failed to watch" err="failed to list *v1.ReplicationController: replicationcontrollers is forbidden: User \"system:kube-scheduler\" cannot list resource \"replicationcontrollers\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.ReplicationController"
2026-08-28T15:51:07.006328736Z E0828 15:51:07.006218       1 reflector.go:227] "Failed to watch" err="failed to list *v1.Service: services is forbidden: User \"system:kube-scheduler\" cannot list resource \"services\" in API group \"\" at the cluster scope" logger="UnhandledError" reflector="k8s.io/client-go/informers/factory.go:178" type="*v1.Service"
